"Country","Deaths per 100k until 10/10/20"
"San Marino","124.32"
"Peru","103.86"
"Belgium","89.08"
"Bolivia","73.04"
"Brazil","71.44"
"Andorra","71.42"
"Ecuador","71.34"
"Chile","70.86"
"Spain","70.48"
"Mexico","66.28"
"US","65.52"
"United Kingdom","64.45"
"Italy","59.80"
"Panama","59.42"
"Sweden","57.88"
"Colombia","55.71"
"Argentina","53.00"
"France","48.67"
"Moldova","41.12"
"Netherlands","38.44"
"North Macedonia","37.69"
"Ireland","37.58"
"Kosovo","34.95"
"Iran","34.59"
"Armenia","34.42"
"Montenegro","31.82"
"South Africa","30.59"
"Bosnia and Herzegovina","27.89"
"Romania","27.51"
"Bahamas","27.49"
"Honduras","26.12"
"Canada","26.07"
"Iraq","25.47"
"Switzerland","24.52"
"Israel","21.85"
"Costa Rica","21.52"
"Luxembourg","21.06"
"Oman","20.89"
"Dominican Republic","20.39"
"Portugal","20.10"
"Guatemala","19.51"
"Suriname","18.58"
"Bahrain","17.39"
"Kyrgyzstan","17.13"
"Kuwait","15.83"
"Russia","15.46"
"Paraguay","15.31"
"Saudi Arabia","14.89"
"Albania","14.51"
"El Salvador","13.81"
"Cabo Verde","13.61"
"Guyana","13.09"
"Bulgaria","12.68"
"Germany","11.60"
"Denmark","11.51"
"Ukraine","11.23"
"Serbia","10.91"
"Turkey","10.66"
"Eswatini","9.95"
"Austria","9.63"
"Kazakhstan","9.55"
"Hungary","9.55"
"Belarus","9.33"
"Libya","9.33"
"Belize","9.14"
"Czechia","8.92"
"Malta","8.48"
"West Bank and Gaza","8.27"
"Slovenia","8.08"
"India","7.94"
"Qatar","7.87"
"Poland","7.83"
"Croatia","7.75"
"Morocco","7.14"
"Sao Tome and Principe","7.11"
"Lebanon","6.64"
"Maldives","6.59"
"Trinidad and Tobago","6.48"
"Djibouti","6.36"
"Equatorial Guinea","6.34"
"Finland","6.27"
"Egypt","6.14"
"Azerbaijan","6.12"
"Philippines","5.85"
"Namibia","5.23"
"Norway","5.17"
"Estonia","5.15"
"Gambia","5.13"
"Jamaica","4.70"
"United Arab Emirates","4.60"
"Indonesia","4.40"
"Algeria","4.25"
"Greece","4.06"
"Afghanistan","3.96"
"Tunisia","3.94"
"Mauritania","3.70"
"Lithuania","3.69"
"Australia","3.59"
"Bangladesh","3.41"
"Antigua and Barbuda","3.12"
"Pakistan","3.10"
"Iceland","2.83"
"Gabon","2.55"
"Barbados","2.44"
"Venezuela","2.39"
"Nicaragua","2.37"
"Nepal","2.19"
"Guinea-Bissau","2.13"
"Cyprus","2.10"
"Georgia","2.09"
"Yemen","2.09"
"Latvia","2.08"
"Haiti","2.07"
"Sudan","2.00"
"Lesotho","1.99"
"Senegal","1.98"
"Zambia","1.94"
"Jordan","1.82"
"Congo (Brazzaville)","1.72"
"Liberia","1.70"
"Cameroon","1.68"
"Zimbabwe","1.59"
"Uzbekistan","1.52"
"Kenya","1.48"
"Uruguay","1.45"
"Central African Republic","1.33"
"Syria","1.31"
"Japan","1.29"
"Ethiopia","1.17"
"Slovakia","1.12"
"Burma","1.11"
"Cuba","1.08"
"Ghana","1.03"
"Malawi","0.99"
"Sierra Leone","0.94"
"Madagascar","0.90"
"Tajikistan","0.87"
"Comoros","0.84"
"Korea, South","0.84"
"Botswana","0.80"
"Mauritius","0.79"
"Angola","0.71"
"Brunei","0.70"
"Mali","0.69"
"Somalia","0.66"
"Togo","0.62"
"Chad","0.59"
"Nigeria","0.57"
"Guinea","0.56"
"New Zealand","0.51"
"South Sudan","0.49"
"Malaysia","0.49"
"Singapore","0.48"
"Cote d'Ivoire","0.48"
"Benin","0.36"
"China","0.34"
"Congo (Kinshasa)","0.33"
"Burkina Faso","0.31"
"Niger","0.31"
"Rwanda","0.24"
"Mozambique","0.24"
"Uganda","0.22"
"Thailand","0.08"
"Papua New Guinea","0.08"
"Sri Lanka","0.06"
"Tanzania","0.04"
"Vietnam","0.04"
"Taiwan*","0.03"
